name	family	interaction	host name	host family	source
Aacanthocnema burckhardti	Triozidae	Associate:Consumer:Herbivore:Sap feeder	Allocasuarina torulosa	Casuarinaceae	http://biodiversity.org.au/afd/taxa/2963847c-413e-479a-b57a-af58c5bd4e65
Aacanthocnema casuarinae	Triozidae	Associate:Consumer:Herbivore:Sap sucker	Allocasuarina distyla	Casuarinaceae	http://biodiversity.org.au/afd/taxa/f9dc0658-c918-4352-8ea8-02a309e988f9
Aacanthocnema casuarinae	Triozidae	Associate:Consumer:Herbivore:Sap sucker	Allocasuarina verticillata	Casuarinaceae	http://biodiversity.org.au/afd/taxa/f9dc0658-c918-4352-8ea8-02a309e988f9
Aacanthocnema casuarinae	Triozidae	Associate:Consumer:Herbivore:Sap sucker	Casuarina	Casuarinaceae	http://biodiversity.org.au/afd/taxa/f9dc0658-c918-4352-8ea8-02a309e988f9
Aacanthocnema dobsoni	Triozidae	Associate:Consumer:Herbivore:Sap sucker	Allocasuarina verticillata	Casuarinaceae	http://biodiversity.org.au/afd/taxa/607f0e26-8ff2-4d19-a573-e3746c324586
Aacanthocnema huegelianae	Triozidae	Associate:Consumer:Herbivore:Sap feeder	Allocasuarina huegeliana	Casuarinaceae	http://biodiversity.org.au/afd/taxa/16eca724-c32d-45bf-b7e9-d6a6f4f0ca09
Aacanthocnema luehmannii	Triozidae	Associate:Consumer:Herbivore:Sap feeder	Allocasuarina luehmannii	Casuarinaceae	http://biodiversity.org.au/afd/taxa/9ca50cd8-48fd-438a-9f74-d5c2cb3a9f62
Aacanthocnema torulosae	Triozidae	Associate:Consumer:Herbivore:Sap feeder	Allocasuarina torulosa	Casuarinaceae	http://biodiversity.org.au/afd/taxa/8fa2aa96-14c4-4afb-81ef-d75c5b8bc0f2
Abgrallaspis cyanophylli	Diaspididae	Associate:Consumer:Herbivore:Sap feeder	Annona reticulata	Annonaceae	http://biodiversity.org.au/afd/taxa/9c1d594c-f3ac-4a72-be4a-8229564e447e
Abgrallaspis cyanophylli	Diaspididae	Associate:Consumer:Herbivore:Sap feeder	Annona squamosa	Annonaceae	http://biodiversity.org.au/afd/taxa/9c1d594c-f3ac-4a72-be4a-8229564e447e
Abgrallaspis cyanophylli	Diaspididae	Associate:Consumer:Herbivore:Sap feeder	Callistemon	Myrtaceae	http://biodiversity.org.au/afd/taxa/9c1d594c-f3ac-4a72-be4a-8229564e447e
