rank	count	Locality

1	408	ca. 1 km S of Murchison House HS, Kalbarri National Park
2	348	Fish River Station, S24b camp
3	298	Chesapeak Road, 47.2 km W of Broke Inlet Road
4	297	17.5 km E of Stuart Hiway on Horseshoe Bend Rd
5	233	Neds Corner, 500m N from major intersection past homestead - nr Pitfall Traps 11+12
6	221	74.8 km E of Yuendumu on Mt Denison-Coniston Rd
7	207	Wilsons Promonotory National Park, Darley River area
8	205	Discovery Bay Coastal Park, Quarry Rd carpark area, at beach
9	188	Wilsons Promonotory National Park, Sqeaky Bay trail, opposite Lilly Pilly car park
10	186	Mosman Park, Perth
11	181	45.3 km NW of Bond Springs on Tanami Rd
12	173	24 km SE of jct of Manga Rd and Shark Bay Rd, Shark Bay World Heritage Area
13	171	28 km S of Menzies
14	170	6.3km E of Lolworth Homestead
15	168	Friendly Beaches, Freycinet Peninsula
16	167	15 km NW of Northampton, on Port Gregory Rd &#40;toward Gregory&#41;
17	165	Lillian Stoke Rock
18	161	Credo Station, just off Coolgardie Nth Rd nr Ularring Rock
19	158	66.2 km E of North West Coastal Hiway on Mardathuna Rd
20	153	Useless Loop Rd ca. 20 km W of jct with Shark Bay Rd
21=	148	17 km N of Albany, Simpson Road at Chester Pass Hiway
21=	148	Credo Station, Quarry site
23=	147	Mt Serle district &#40;near Gammon Ranges National Park&#41;
23=	147	ca. 107.7 km SE of North West Coastal Hiway, on Mardathuna Rd &#40;W of Kennedy Range National Park&#41;
25=	143	Arthur-Pieman Conservation Area, Dago Plains &#40;between Lagoon River and Italian River&#41;
25=	143	Kimberley Dist., Gibb Rd, 33.5 km E of Great Northern Hiway
27	141	Pilbara Dist., Hillside-Bonney Downs Rd, 6.3 km SE of Hillside Homestead
28	138	Little Desert National Park, McDonald Highway
29=	132	49 km S Eneabba, Coomallo Rest Area, jct of Brand Hiway and Jurien East Rd
29=	132	Jnct of Bamboo Ck &#38; Gibb River Rd, 85.16km W of Home Valley Station on Gibb River Rd
31	131	Bournda National Park, North Wallagoot, Turingal Head
32	129	Frank Hann National Park, Lillian Stoke Rock
33	128	Neds Corner, 10m N of homestead, along river bank
34	127	Fish River Station, transect M
35	124	67 km E of Stuart Hiway on Arltunga Stn Rd
36	123	Karekare [Kare Kare], Waitakare [Waitakere]
37	121	Royal National Park, Lady Carrington Drive
38=	120	Lochada, Windinie Hill
